구분,기관명,지점명,본점/지점구분,상위기관_주무부처_지자체,기관유형,상세주소,대표전화,콜센터,FAX,이메일,홈페이지,기관장명
지방공공기관,서울특별시상수도,서울특별시상수도,본점,서울특별시 서울특별시,직영기업(상수도),-,02-3146-1114,-,-,-,http://arisu.seoul.go.kr,한영희
지방공공기관,서울특별시하수도,서울특별시하수도,본점,서울특별시 서울특별시,직영기업(하수도),-,02-2133-3854,-,-,-,https://www.seoul.go.kr/main/index.jsp,안대희
지방공공기관,서울교통공사,서울교통공사,본점,서울특별시 서울특별시,지방공사(도시철도공사),-,1577-1234,-,-,-,http://www.seoulmetro.co.kr,백호
지방공공기관,서울주택도시공사,서울주택도시공사,본점,서울특별시 서울특별시,지방공사(도시개발공사),-,02-1600-3456,-,-,-,http://www.i-sh.co.kr,김헌동
지방공공기관,서울에너지공사,서울에너지공사,본점,서울특별시 서울특별시,지방공사(기타공사),-,02-2640-5104,-,-,-,http://www.i-se.co.kr,이승현
지방공공기관,서울특별시농수산식품공사,서울특별시농수산식품공사,본점,서울특별시 서울특별시,지방공사(기타공사),-,02-3435-1000,-,-,-,http://www.garak.co.kr,문영표
지방공공기관,서울물재생시설공단,서울물재생시설공단,본점,서울특별시 서울특별시,지방공단(시설관리공단),-,02-3410-9735,-,-,-,http://www.swr.or.kr,권완택
지방공공기관,서울시설공단,서울시설공단,본점,서울특별시 서울특별시,지방공단(시설관리공단),-,02-2290-6114,-,-,-,http://www.sisul.or.kr/,한국영
지방공공기관,종로구시설관리공단,종로구시설관리공단,본점,서울특별시 종로구,지방공단(시설관리공단),-,02-6048-1234,-,-,-,https://www.ijongno.co.kr,이사장 직무대행 박정헌 상임이사
지방공공기관,중구시설관리공단,중구시설관리공단,본점,서울특별시 중구,지방공단(시설관리공단),-,02-2280-8300,-,-,-,http://www.e-junggu.or.kr,경화수
지방공공기관,용산구시설관리공단,용산구시설관리공단,본점,서울특별시 용산구,지방공단(시설관리공단),-,02-749-5314,-,-,-,http://www.yong-san.or.kr,성기욱
지방공공기관,성동구도시관리공단,성동구도시관리공단,본점,서울특별시 성동구,지방공단(시설관리공단),-,02-2204-7900,-,-,-,http://www.happysd.or.kr,김종선
지방공공기관,광진구시설관리공단,광진구시설관리공단,본점,서울특별시 광진구,지방공단(시설관리공단),-,02-2049-4560,-,-,-,http://www.gwangjin.or.kr,강호철
지방공공기관,동대문구시설관리공단,동대문구시설관리공단,본점,서울특별시 동대문구,지방공단(시설관리공단),-,02-2247-9659,-,-,-,http://www.dfmc.kr,인택환
지방공공기관,중랑구시설관리공단,중랑구시설관리공단,본점,서울특별시 중랑구,지방공단(시설관리공단),-,02-3422-4831~4,-,-,-,http://www.jungnangimc.or.kr,이동열
지방공공기관,성북구도시관리공단,성북구도시관리공단,본점,서울특별시 성북구,지방공단(시설관리공단),-,02-962-2082,-,-,-,http://www.gongdan.go.kr,박근종
지방공공기관,강북구도시관리공단,강북구도시관리공단,본점,서울특별시 강북구,지방공단(시설관리공단),-,02-944-3000,-,-,-,https://www.gbcmc.or.kr/,신승동
지방공공기관,도봉구시설관리공단,도봉구시설관리공단,본점,서울특별시 도봉구,지방공단(시설관리공단),-,02-901-5000,-,-,-,http://www.dobongsiseol.or.kr/,도봉구시설관리공단 이사장 김기수
지방공공기관,서울특별시 노원구시설관리공단,서울특별시 노원구시설관리공단,본점,서울특별시 노원구,지방공단(시설관리공단),-,02-2289-6700,-,-,-,http://www.nowonsc.kr,김주성
지방공공기관,은평구시설관리공단,은평구시설관리공단,본점,서울특별시 은평구,지방공단(시설관리공단),-,02-350-5114,-,-,-,http://www.efmc.or.kr,이현찬
지방공공기관,서대문구도시관리공단,서대문구도시관리공단,본점,서울특별시 서대문구,지방공단(시설관리공단),-,02-360-8500,-,-,-,http://www.sscmc.or.kr,한운영
